Identifier,Title,Implementation Applicable (Y/N),Non Applicability Rationale,Description from ISM
ISM-2084,AI documentation (including model & system cards) maintained,Y,,"Artificial intelligence-specific documentation, including model and system cards (or equivalent artefacts), is used to document model characteristics, system architectures, use cases and security risks."
ISM-2072,Store AI models in non-executable format,Y,,Artificial intelligence models are stored in a non-executable file format that does not allow arbitrary code execution.
ISM-2085,Prevent exposure of exact AI confidence scores,Y,,The exposure of exact artificial intelligence model confidence scores in API responses or user interfaces is prevented.
ISM-2086,Verify source & integrity of AI models,Y,,"The source and integrity of artificial intelligence models, structures and weights are verified."
ISM-2087,Verify source & integrity of AI training data,Y,,The source and integrity of training data for artificial intelligence models is verified.
ISM-2088,Use data validation and verification techniques to ensure AI training data reliability,Y,,Data validation and verification techniques are used to ensure the reliability and accuracy of training data used by artificial intelligence models.
ISM-2089,Monitor AI model performance & investigate anomalies,Y,,Artificial intelligence model performance metrics are monitored and anomalies are investigated.
ISM-2090,Apply rate limiting to AI inference queries,Y,,Rate limiting is applied to inference queries for artificial intelligence models.
ISM-2091,Enforce resource limits for AI models,Y,,Resource limits are enforced for artificial intelligence models.
ISM-2092,Implement fine-grained access control for AI apps,Y,,Access control policies are implemented to enforce fine-grained permissions for artificial intelligence applications.
ISM-2093,Use role-based access control for AI apps,Y,,Role-based access controls are implemented for artificial intelligence applications to restrict access to sensitive data.
ISM-1924,Generative AI evaluates prompts to detect adversarial inputs,Y,,Generative artificial intelligence applications evaluate user prompts to detect and mitigate adversarial inputs or suffixes designed to elicit unintended behaviour or assist in the generation of sensitive or harmful content.
ISM-2094,Implement content filtering to prevent sensitive/harmful AI output,Y,,Content filtering is implemented by artificial intelligence applications to detect and block sensitive data exposure and improper output.
ISM-1922,Use OWASP MASVS for mobile app development,Y,,The OWASP Mobile Application Security Verification Standard is used in the development of mobile applications.
ISM-1239,Use robust web frameworks for web apps,Y,,Robust web application frameworks are used in the development of web applications.
ISM-0971,Use OWASP ASVS for web app development,Y,,The OWASP Application Security Verification Standard is used in the development of web applications.
ISM-1849,Use OWASP Proactive Controls in web app development,Y,,The OWASP Top 10 Proactive Controls are used in the development of web applications.
ISM-1850,Mitigate OWASP Top 10 in web app development,Y,,The OWASP Top 10 are mitigated in the development of web applications.
ISM-2063,Set secure cookie flags by default if supported,Y,,"If supported, web application session cookies set the HttpOnly flag, Secure flag and the SameSite flag by default."
ISM-2064,Use opaque signed tokens in session cookies,Y,,Web application session cookies contain only digitally signed opaque bearer tokens.
ISM-2065,Use non-sequential random high-entropy IDs if opaque tokens not signed,Y,,"Web application session cookies using opaque bearer tokens that are not digitally signed use non-sequential random identifiers with a minimum of 128 bits of entropy, preferably 256 bits of entropy."
ISM-2066,Manage web sessions centrally server-side,Y,,Web application sessions are centrally managed server side.
ISM-2067,Support Single Sign On and Single Logout equally,Y,,Web applications that support Single Sign On equally support Single Logout.
ISM-1424,"Specify CSP, HSTS and X-Frame-Options in response headers",Y,,"Content-Security-Policy, Hypertext Transfer Protocol Strict Transport Security and X-Frame-Options are specified by web server software via security policy in response headers."
ISM-1552,Offer all web content exclusively over HTTPS,Y,,All web application content is offered exclusively using HTTPS.
ISM-1851,Mitigate OWASP Security Top 10 for web APIs,Y,,The OWASP API Security Top 10 are mitigated in the development of web APIs.
ISM-1241,Perform output encoding for web app output,Y,,Output encoding is performed on all output produced by web applications.
ISM-1269,Functionally separate database and web servers,Y,,Database servers and web servers are functionally separated.
ISM-1277,Encrypt communications between DB and web servers,Y,,Data communicated between database servers and web servers is encrypted.
ISM-1270,Place DB servers on separate network segment from workstations,Y,,Database servers are placed on a different network segment to user workstations.
ISM-1271,Use network access controls to restrict DB communications,Y,,Network access controls are implemented to restrict database server communications to strictly defined network resources that require access to the database server.
ISM-1272,Disable DB networking if only local access required,Y,,"If only local access to a database is required, networking functionality of database management system applications are disabled or directed to listen solely to the localhost interface."
ISM-1273,Segregate DB servers across environments,Y,,"Database servers for development, testing, staging and production environments are segregated."
ISM-1243,Database register maintained,Y,,"A database register is developed, implemented, maintained and verified on a regular basis."
ISM-1256,Apply file-based access controls to DB files,Y,,File-based access controls are applied to database files.
ISM-0393,Classify DBs by contained data sensitivity,Y,,Databases and their contents are classified based on the sensitivity or classification of data that they contain.
ISM-1255,Restrict DB user access based on duties,Y,,"Database users’ ability to access, insert, modify and remove database contents is restricted based on their work duties."
ISM-1268,Enforce need-to-know principle via least privilege and tokenisation,Y,,"The need-to-know principle is enforced for database contents through the application of minimum privileges, database views, database roles and data tokenisation."
ISM-1274,Do not use production DB content in non-production environment unless secured equally,Y,,Database contents from production environments are not used in non-production environments unless the non-production environment is secured to at least the same level as the production environment.
ISM-1537,Log security-relevant DB events centrally,Y,,"Security-relevant events for databases are centrally logged, including:
• access or modification of particularly important content
• addition of new users, especially privileged users
• changes to user roles or privileges
• attempts to elevate user privileges
• queries containing comments
• queries containing multiple embedded queries
• database and query alerts or failures
• database structure changes
• database administrator actions
• use of executable commands
• database logons and logoffs."
ISM-0264,Email usage policy maintained,C,Solution does not use email; users have corporate managed email,"An email usage policy is developed, implemented and maintained."
ISM-0267,Block access to non-approved webmail,C,Solution does not use email; users have corporate managed email,Access to non-approved webmail services is blocked.
ISM-0270,Apply protective markings as per highest sensitivity to emails,C,Solution does not use email; users have corporate managed email,"Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments."
ISM-0271,Protective marking tools do not auto-insert markings,C,Solution does not use email; users have corporate managed email,Protective marking tools do not automatically insert protective markings into emails.
ISM-0272,Protective marking tools restrict markings to authorised levels,C,Solution does not use email; users have corporate managed email,"Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate."
ISM-1089,Protective marking tools prevent downgrading markings on reply/forward,C,Solution does not use email; users have corporate managed email,Protective marking tools do not allow users replying to or forwarding emails to select protective markings lower than previously used.
ISM-0565,Configure email servers to block/log/report emails with inappropriate markings,C,Solution does not use email; users have corporate managed email,"Email servers are configured to block, log and report emails with inappropriate protective markings."
ISM-1023,Notify senders/recipients of blocked emails,C,Solution does not use email; users have corporate managed email,"The intended recipients of blocked inbound emails, and the senders of blocked outbound emails, are notified."
ISM-0269,Do not send AUSTEO/AGAO/REL emails to distribution lists unless all recipients' nationality known,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications/ Solution does not use email; users have corporate managed email,"Emails containing Australian Eyes Only, Australian Government Access Only or Releasable To data are not sent to email distribution lists unless the nationality of all members of email distribution lists can be confirmed."
ISM-0569,Route emails via centralised gateways,C,Solution does not use email; users have corporate managed email,Emails are routed via centralised email gateways.
ISM-0571,Use authenticated & encrypted channel to route emails via centralised email gateways,C,Solution does not use email; users have corporate managed email,"When users send or receive emails, an authenticated and encrypted channel is used to route emails via their organisation’s centralised email gateways."
ISM-0570,Maintain backup/alternative email gateways at same standard,C,Solution does not use email; users have corporate managed email,"Where backup or alternative email gateways are in place, they are maintained at the same standard as the primary email gateway."
ISM-0567,Email servers only relay for their domains,C,Solution does not use email; users have corporate managed email,Email servers only relay emails destined for or originating from their domains (including subdomains).
ISM-0572,Enable opportunistic TLS on email servers that connect to public networks,C,Solution does not use email; users have corporate managed email,Opportunistic TLS encryption is enabled on email servers that make incoming or outgoing email connections over public network infrastructure.
ISM-1589,Enable MTA-STS to prevent unencrypted transfers between email servers,C,Solution does not use email; users have corporate managed email,MTA-STS is enabled to prevent the unencrypted transfer of emails between email servers.
ISM-0574,SPF specifies authorised email servers,C,Solution does not use email; users have corporate managed email,SPF is used to specify authorised email servers (or lack thereof) for an organisation’s domains (including subdomains).
ISM-1183,Use hard fail SPF record when specifying authorised email servers,C,Solution does not use email; users have corporate managed email,A hard fail SPF record is used when specifying authorised email servers (or lack thereof) for an organisation’s domains (including subdomains).
ISM-1151,Use SPF to verify incoming email authenticity,C,Solution does not use email; users have corporate managed email,SPF is used to verify the authenticity of incoming emails.
ISM-0861,Enable DKIM signing for outgoing emails,C,Solution does not use email; users have corporate managed email,DKIM signing is enabled on emails originating from an organisation’s domains (including subdomains).
ISM-1026,Verify DKIM on incoming emails,C,Solution does not use email; users have corporate managed email,DKIM signatures on incoming emails are verified.
ISM-1027,Ensure mailing lists don't break sender's DKIM signature validity,C,Solution does not use email; users have corporate managed email,Email distribution list applications used by external senders is configured such that it does not break the validity of the sender’s DKIM signature.
ISM-1540,Configure DMARC to reject failed checks,C,Solution does not use email; users have corporate managed email,DMARC records are configured for an organisation’s domains (including subdomains) such that emails are rejected if they do not pass DMARC checks.
ISM-1799,Reject incoming emails that fail DMARC,C,Solution does not use email; users have corporate managed email,Incoming emails are rejected if they do not pass DMARC checks.
ISM-1234,Implement email content filtering for harmful content,C,Solution does not use email; users have corporate managed email,Email content filtering is implemented to filter potentially harmful content in email bodies and attachments.
ISM-1502,Block external emails spoofing internal domains,C,Solution does not use email; users have corporate managed email,"Emails arriving via an external connection where the email source address uses an internal domain, or internal subdomain, are blocked at the email gateway."
ISM-1024,Send undeliverable notices only to senders that can be verified with trusted means,C,Solution does not use email; users have corporate managed email,Notifications of undeliverable emails are only sent to senders that can be verified via SPF or other trusted means.
ISM-0518,Network documentation maintained,Y,,"Network documentation is developed, implemented and maintained."
ISM-0516,Network docs include high-level & logical diagrams,Y,,"Network documentation includes high-level network diagrams showing all connections into networks and logical network diagrams showing all critical servers, high-value servers, network devices and network security appliances."
ISM-1912,Network docs include device settings for critical assets,Y,,"Network documentation includes device settings for all critical servers, high-value servers, network devices and network security appliances."
ISM-1178,Third-party access to network docs limited to necessary details,Y,,"Network documentation provided to a third party, or published in public tender documentation, only contains details necessary for other parties to undertake contractual services."
ISM-1181,Segregate networks into zones by criticality,N,,"Networks are segregated into multiple network zones according to the criticality of servers, services and data."
ISM-1577,Segregate organisation networks from service providers' networks,N,,An organisation’s networks are segregated from their service providers’ networks.
ISM-1532,Do not use VLANs to separate org networks from public infrastructure,N,,VLANs are not used to separate network traffic between an organisation’s networks and public network infrastructure.
ISM-0529,Do not use VLANs to separate different security domains,N,,VLANs are not used to separate network traffic between networks belonging to different security domains.
ISM-0530,VLAN managed from most trusted security domain,N,,Network devices managing VLANs are administered from the most trusted security domain.
ISM-0535,Devices managing VLANs for different domains do not share trunks,N,,Network devices managing VLANs belonging to different security domains do not share VLAN trunks.
ISM-1364,Devices managing VLANs terminate VLANs for different domains on separate physical interfaces,N,,Network devices managing VLANs terminate VLANs belonging to different security domains on separate physical network interfaces.
ISM-2068,Limit internet connectivity to only required devices,N,,Internet connectivity for networked devices is strictly limited to those that require access.
ISM-1863,Do not expose networked management interfaces to internet,N,,Networked management interfaces for IT equipment are not directly exposed to the internet.
ISM-0385,Servers maintain functional separation to operate independently,N,,Servers maintain effective functional separation with other servers allowing them to operate independently.
ISM-1479,Servers minimise communications with other servers,N,,Servers minimise communications with other servers at the network and file system level.
ISM-1781,Encrypt all data over network infrastructure,N,,All data communicated over network infrastructure is encrypted.
ISM-0521,Disable IPv6 unless used,N,,IPv6 functionality is disabled in dual-stack network devices unless it is being used.
ISM-1186,Use IPv6-capable network security appliances,N,,IPv6 capable network security appliances are used on IPv6 and dual-stack networks.
ISM-1428,Disable IPv6 tunnelling unless required,N,,"Unless explicitly required, IPv6 tunnelling is disabled on all network devices."
ISM-1429,Block IPv6 tunnelling at externally connected-network boundaries,N,,IPv6 tunnelling is blocked by network security appliances at externally-connected network boundaries.
ISM-1430,Configure DHCPv6 in stateful mode with central lease logging,N,,Dynamically assigned IPv6 addresses are configured with Dynamic Host Configuration Protocol version 6 in a stateful manner with lease data stored in a centralised event logging facility.
ISM-0520,Implement network access controls to block unauthorised devices,N,,Network access controls are implemented on networks to prevent the connection of unauthorised network devices and networked IT equipment.
ISM-1182,Limit network traffic flows within/between segments to business needs,Y,,Network access controls are implemented to limit the flow of network traffic within and between network segments to only that required for business purposes.
ISM-1006,Prevent unauthorised access to network management traffic,Y,,Security measures are implemented to prevent unauthorised access to network management traffic.
ISM-1962,Do not use SMBv1,Y,,SMB version 1 is not used on networks.
ISM-1311,Do not use SNMPv1/v2,Y,,SNMP version 1 and SNMP version 2 are not used on networks.
ISM-1312,Change default SNMP community strings & disable write access,Y,,All default SNMP community strings on network devices are changed and write access is disabled.
ISM-1028,Deploy NIDS/NIPS at external gateways,Y,,A NIDS or NIPS is deployed in gateways between an organisation’s networks and other networks they do not manage.
ISM-1030,Place NIDS/NIPS inside outermost firewall and log ruleset contraventions,Y,,A NIDS or NIPS is located immediately inside the outermost firewall for gateways and configured to generate event logs and alerts for network traffic that contravenes any rule in a firewall ruleset.
ISM-1627,Block inbound connections from anonymity networks,Y,,Inbound network connections from anonymity networks are blocked.
ISM-1628,Block outbound connections to anonymity networks,Y,,Outbound network connections to anonymity networks are blocked.
ISM-2017,Encrypt DNS traffic where supported,Y,,DNS traffic is encrypted by clients and servers wherever supported.
ISM-1782,Use protective DNS to block known malicious domains,Y,,A protective DNS service is used to block access to known malicious domain names.
ISM-1800,Flash network devices with trusted firmware before first use,Y,,Network devices are flashed with trusted firmware before they are used for the first time.
ISM-1304,Change/disable/remove default network device accounts/credentials,Y,,"Default user accounts or credentials for network devices, including for any pre-configured user accounts, are changed, disabled or removed during initial setup."
ISM-0534,Disable unused physical ports on network devices,Y,,Unused physical ports on network devices are disabled.
ISM-1801,Restart network devices at least monthly,Y,,Network devices are restarted on at least a monthly basis.
ISM-1963,Log security events for internet-facing network devices centrally,Y,,Security-relevant events for internet-facing network devices are centrally logged.
ISM-1964,Log security events for non-internet-facing network devices centrally,Y,,Security-relevant events for non-internet-facing network devices are centrally logged.
ISM-1314,Ensure wireless devices are Wi-Fi Alliance certified,N,,All wireless devices are Wi-Fi Alliance certified.
ISM-0536,Segregate public wireless from organisation networks,N,,Public wireless networks provided for general public use are segregated from all other organisation networks.
ISM-1315,Disable administrative interface on WAPs for wireless connections,N,,The administrative interface on wireless access points is disabled for wireless network connections.
ISM-1710,Harden wireless access point settings,N,,Settings for wireless access points are hardened.
ISM-1316,Change default SSIDs of WAPs,N,,Default SSIDs of wireless access points are changed.
ISM-1317,Non-public SSIDs not easily associated with organisation/location/function,N,,"SSIDs of non-public wireless networks are not readily associated with an organisation, the location of their premises or the functionality of wireless networks."
ISM-1318,Do not disable SSID broadcasting,N,,SSID broadcasting is not disabled on wireless access points.
ISM-1320,Do not use MAC filtering for wireless restrictions,N,,MAC address filtering is not used to restrict which devices can connect to wireless networks.
ISM-1319,Do not use static addressing for wireless IP assignments,N,,Static addressing is not used for assigning IP addresses on wireless networks.
ISM-1332,Use WPA3-Enterprise 192-bit mode for wireless network traffic,N,,WPA3-Enterprise 192-bit mode is used to protect the confidentiality and integrity of all wireless network traffic.
ISM-1321,"Use 802.1X EAP-TLS with X.509 certificates, disable other EAP methods",N,,"802.1X authentication with EAP-TLS, using X.509 certificates, is used for mutual authentication; with all other EAP methods disabled on supplicants and authentication servers."
ISM-1711,Use user identity confidentiality if available with EAP-TLS implementations,N,,User identity confidentiality is used if available with EAP-TLS implementations.
ISM-1322,Use evaluated supplicants/authenticators/WAPs/authentication servers,N,,"Evaluated supplicants, authenticators, wireless access points and authentication servers are used in wireless networks."
ISM-1324,Generate certificates using evaluated CA or HSM,N,,Certificates are generated using an evaluated certificate authority or hardware security module.
ISM-1323,Require certificates for devices/users accessing wireless networks,N,,Certificates are required for devices and users accessing wireless networks.
ISM-1327,"Protect certificates with logical/physical access controls, encryption, and user authentication",N,,"Certificates are protected by logical and physical access controls, encryption, and user authentication."
ISM-1330,Set PMK caching period <= 1440 minutes (24h),N,,The PMK caching period is not set to greater than 1440 minutes (24 hours).
ISM-1712,Disable 802.11r unless authenticator communication uses an ASD-approved cryptographic protocol,N,,The use of FT (802.11r) is disabled unless authenticator-to-authenticator communications are secured by an ASD-Approved Cryptographic Protocol.
ISM-1454,Encrypt communications between authenticators and RADIUS servers (RADIUS over IPsec/TLS),N,,Communications between authenticators and a RADIUS server are encapsulated with an additional layer of encryption using RADIUS over Internet Protocol Security or RADIUS over Transport Layer Security.
ISM-1334,Provide frequency separation for wireless networks,N,,Wireless networks implement sufficient frequency separation from other wireless networks.
ISM-1335,Ensure WAPs enable use of 802.11w to protect management frames,N,,Wireless access points enable the use of the 802.11w amendment to protect management frames.
ISM-1338,Use more WAPs at lower broadcast power rather than few high-power WAPs,N,,"Instead of deploying a small number of wireless access points that broadcast on high power, a greater number of wireless access points that use less broadcast power are deployed to achieve the desired footprint for wireless networks."
ISM-1013,Limit effective wireless range outside organisation control with RF shielding for SECRET/TOP SECRET networks,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,The effective range of wireless communications outside an organisation’s area of control is limited by implementing RF shielding on facilities in which SECRET or TOP SECRET wireless networks are used.
ISM-1437,Use cloud service providers for hosting online services,N,,Cloud service providers are used for hosting online services.
ISM-1579,Verify cloud provider scalability for capacity planning,Y,,Cloud service providers’ ability to dynamically scale resources in response to a genuine spike in demand is discussed and verified as part of capacity and availability planning for online services.
ISM-1580,Architect high-availability services to transition between availability zones,Y,,"Where a high availability requirement exists for online services, the services are architected to automatically transition between availability zones."
ISM-1581,Continuously monitor capacity & availability of online services,Y,,Continuous real-time monitoring of the capacity and availability of online services is performed.
ISM-1438,Use CDNs for high-availability website hosting,Y,,"Where a high availability requirement exists for website hosting, CDNs that cache websites are used."
ISM-1439,Avoid exposing origin server IP addresses when using CDNs and restrict access,Y,,"If using CDNs, disclosing the IP addresses of web servers under an organisation’s control (referred to as origin servers) is avoided and access to the origin servers is restricted to the CDNs and authorised management networks."
ISM-1431,Discuss DDoS mitigation with cloud providers and document thresholds/actions,Y,,"Denial-of-service attack mitigation strategies are discussed with cloud service providers, specifically:
• their capacity to withstand denial-of-service attacks
• costs likely to be incurred as a result of denial-of-service attacks
• availability monitoring and thresholds for notification of denial-of-service attacks
• thresholds for turning off any online services or functionality during denial-of-service attacks
• pre-approved actions that can be undertaken during denial-of-service attacks
• any arrangements with upstream service providers to block malicious network traffic as far upstream as possible."
ISM-1436,Segregate critical online services from others likely to be targeted for DDoS,Y,,Critical online services are segregated from other online services that are more likely to be targeted as part of denial-of-service attacks.
ISM-1432,Protect domain names with registrar locking and correct registration details,Y,,Domain names for online services are protected via registrar locking and confirming that domain registration details are correct.
ISM-0499,Comply with ASD HACE communications security doctrine and policy,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Communications security doctrine and policy produced by ASD for the management and operation of HACE is complied with.
ISM-1802,Obtain ASD Approval for HACE use and follow instructions,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,HACE are issued an Approval for Use by ASD and operated in accordance with the latest version of their associated Australian Communications Security Instructions.
ISM-0507,Cryptographic key management processes and procedures maintained,Y,,"Cryptographic key management processes, and supporting cryptographic key management procedures, are developed, implemented and maintained."
ISM-1080,Use ASD-Approved Cryptographic Algorithms for media encryption,Y,,An ASD-Approved Cryptographic Algorithm (AACA) or high assurance cryptographic algorithm is used when encrypting media.
ISM-0459,Use full/partial disk encryption or partitioning for data at rest,Y,,"Full disk encryption, or partial encryption where access controls will only allow writing to the encrypted partition, is implemented when encrypting data at rest."
ISM-0469,Use ASD-Approved Cryptographic Protocols for data in transit,Y,,An ASD-Approved Cryptographic Protocol (AACP) or high assurance cryptographic protocol is used to protect data when communicated over network infrastructure.
ISM-0457,Use Common-Criteria-evaluated cryptographic equipment/libraries for OFFICIAL/PROTECTED media,Y,,"Cryptographic equipment, applications or libraries that have completed a Common Criteria evaluation against an ASD-endorsed Protection Profile are used when encrypting media that contains OFFICIAL: Sensitive or PROTECTED data."
ISM-0460,Use HACE for SECRET/TOP SECRET media encryption,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,HACE is used when encrypting media that contains SECRET or TOP SECRET data.
ISM-0465,Use Common-Criteria-evaluated cryptographic tools for OFFICIAL/PROTECTED over insecure channels,Y,,"Cryptographic equipment, applications or libraries that have completed a Common Criteria evaluation against an ASD-endorsed Protection Profile are used to protect OFFICIAL: Sensitive or PROTECTED data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure."
ISM-0467,Use HACE for SECRET/TOP SECRET over insecure channels,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"HACE is used to protect SECRET and TOP SECRET data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure."
ISM-0455,Encryption tools provide data recovery methods where practical,Y,,"Where practical, cryptographic equipment, applications and libraries provide a means of data recovery to allow for circumstances where the encryption key is unavailable due to loss, damage or failure."
ISM-0462,Treat user-authenticated encryption as original classification/sensitivity until deauthenticating,Y,,"When a user authenticates to the encryption functionality of IT equipment or media, it is treated in accordance with its original sensitivity or classification until the user deauthenticates from the encryption functionality."
ISM-0501,Transport keyed cryptographic equipment per keying sensitivity,Y,,Keyed cryptographic equipment is transported based on the sensitivity or classification of its keying material.
ISM-0142,Report compromise of cryptographic equipment/keying to CISO promptly,Y,,"The compromise or suspected compromise of cryptographic equipment or associated keying material is reported to the chief information security officer, or one of their delegates, as soon as possible after it occurs."
ISM-1091,Change keying material when compromise is suspected/detected,Y,,Keying material is changed when compromised or suspected of being compromised.
ISM-0471,Only use AACAs/high-assurance algorithms for cryptography,Y,,"Only AACAs or high assurance cryptographic algorithms are used by cryptographic equipment, applications and libraries."
ISM-0994,Prefer ECDH over DH,Y,,ECDH is used in preference to DH.
ISM-0472,Use DH modulus >=2048 bits (prefer 3072),Y,,"When using DH for agreeing on encryption session keys, a modulus of at least 2048 bits is used, preferably 3072 bits."
ISM-1759,Use DH modulus >=3072 bits for SECRET/TOP SECRET,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When using DH for agreeing on encryption session keys, a modulus of at least 3072 bits is used, preferably 3072 bits."
ISM-1629,Select DH parameters per NIST SP 800-56A Rev.3,Y,,"When using DH for agreeing on encryption session keys, a modulus and associated parameters are selected according to NIST SP 800-56A Rev. 3."
ISM-1446,Use suitable curves from NIST SP 800-186 for ECC,Y,,"When using elliptic curve cryptography, a suitable curve from NIST SP 800-186 is used."
ISM-0474,"Use ECDH base/keysize >=224 bits, prefer P-384 curve",Y,,"When using ECDH for agreeing on encryption session keys, a base point order and key size of at least 224 bits is used, preferably the NIST P-384 curve."
ISM-1761,"Use NIST P-256/P-384/P-521 for ECDH (prefer P-384 curve) for SECRET",N,Protected classification; Control only applicable to SECRET classification,"When using ECDH for agreeing on encryption session keys, NIST P-256, P-384 or P-521 curves are used, preferably the NIST P-384 curve."
ISM-1762,"Use NIST P-384/P-521 for ECDH (prefer P-384 curve) for TOP SECRET",N,Protected classification; Control only applicable to TOP SECRET classification,"When using ECDH for agreeing on encryption session keys, NIST P-384 or P-521 curves are used, preferably the NIST P-384 curve."
ISM-0475,"Use ECDSA base/keysize >=224 bits, prefer P-384 curve",Y,,"When using ECDSA for digital signatures, a base point order and key size of at least 224 bits is used, preferably the P-384 curve."
ISM-1763,"Use NIST P-256/P-384/P-521 for ECDSA (prefer P-384 curve) for SECRET",N,Protected classification; Control only applicable to SECRET classification,"When using ECDSA for digital signatures, NIST P-256, P-384 or P-521 curves are used, preferably the NIST P-384 curve."
ISM-1764,"Use P-384/P-521 for ECDSA (prefer P-384 curve) for TOP SECRET",N,Protected classification; Control only applicable to TOP SECRET classification,"When using ECDSA for digital signatures, NIST P-384 or P-521 curves are used, preferably the NIST P-384 curve."
ISM-1990,Follow FIPS 204 & 203 guidance when using ML-DSA/ML-KEM,Y,,"When using ML-DSA and ML-KEM, as per FIPS 204 and FIPS 203 respectively, adherence to pre-requisite FIPS publications is preferred."
ISM-1991,"Use ML-DSA-65/87 for ML-DSA, prefer 87",Y,,"When using ML-DSA for digital signatures, ML-DSA-65 or ML-DSA-87 is used, preferably ML-DSA-87."
ISM-1992,Use hedged variant of ML-DSA when possible,Y,,"When using ML-DSA for digital signatures, the hedged variant is used whenever possible."
ISM-1993,Use pre-hashed variants of ML-DSA-65/87 only if necessary,Y,,Pre-hashed variants of ML-DSA-65 and ML-DSA-87 are only used when the performance of default variants is unacceptable.
ISM-1994,Use at least SHA-384/SHA-512 for pre-hashed ML-DSA-65/87 variants,Y,,"When the pre-hashed variants of ML-DSA-65 and ML-DSA-87 are used, at least SHA-384 and SHA-512 respectively are used for pre-hashing."
ISM-1995,"Use ML-KEM-768/1024 for key encapsulation, prefer 1024",Y,,"When using ML-KEM for encapsulating encryption session keys (and similar keys), ML-KEM-768 or ML-KEM-1024 is used, preferably ML-KEM-1024."
ISM-0476,Use RSA modulus >=2048 (prefer 3072),Y,,"When using RSA for digital signatures, and transporting encryption session keys (and similar keys), a modulus of at least 2048 bits is used, preferably 3072 bits."
ISM-1765,Use RSA modulus >=3072 (prefer 3072) for SECRET/TOP SECRET,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When using RSA for digital signatures, and transporting encryption session keys (and similar keys), a modulus of at least 3072 bits is used, preferably 3072 bits."
ISM-0477,Use separate RSA key pairs for signatures and key transport,Y,,"When using RSA for digital signatures, and for transporting encryption session keys (and similar keys), a different key pair is used for digital signatures and transporting encryption session keys."
ISM-1766,"Use SHA-2 with output >=224 bits, prefer SHA-384/512",Y,,"When using SHA-2 for hashing, an output size of at least 224 bits is used, preferably SHA-384 or SHA-512."
ISM-1767,"Use SHA-2 output >=256 bits (prefer SHA-384/512) for SECRET",N,Protected classification; Control only applicable to SECRET classification,"When using SHA-2 for hashing, an output size of at least 256 bits is used, preferably SHA-384 or SHA-512."
ISM-1768,"Use SHA-2 output >=384 bits (prefer SHA-384/512) for TOP SECRET",N,Protected classification; Control only applicable to TOP SECRET classification,"When using SHA-2 for hashing, an output size of at least 384 bits is used, preferably SHA-384 or SHA-512."
ISM-1769,"Use AES for encryption, preferably AES-256",Y,,"When using AES for encryption, AES-128, AES-192 or AES-256 is used, preferably AES-256."
ISM-1770,"Use AES-192/256 for encryption (prefer AES-256) for TOP SECRET",N,Protected classification; Control only applicable to TOP SECRET classification,"When using AES for encryption, AES-192 or AES-256 is used, preferably AES-256."
ISM-0479,Do not use ECB mode for symmetric algorithms,Y,,Symmetric cryptographic algorithms are not used in Electronic Codebook Mode.
ISM-2073,Maintain post-quantum cryptography transition plan,Y,,"A post-quantum cryptography transition plan is developed, implemented and maintained."
ISM-1917,Cryptographic equipment/apps/libraries support ML-DSA-87/ML-KEM-1024/SHA-384/SHA-512/AES-256 by 2030,Y,,"The development and procurement of new cryptographic equipment, applications and libraries ensures support for the use of ML-DSA-87, ML-KEM-1024, SHA-384, SHA-512 and AES-256 by no later than 2030."
ISM-1996,Use AACAs for post-quantum transition hybrid schemes,Y,,"When a post-quantum traditional hybrid scheme is used, either the post-quantum cryptographic algorithm, the traditional cryptographic algorithm or both are AACAs."
ISM-0481,Use only AACPs/high-assurance cryptographic protocols,Y,,"Only AACPs or high assurance cryptographic protocols are used by cryptographic equipment, applications and libraries."
ISM-1139,Use latest TLS version,Y,,Only the latest version of TLS is used for TLS connections.
ISM-1369,Use AES-GCM for TLS connection encryption,Y,,AES-GCM is used for encryption of TLS connections.
ISM-1370,Only allow server-initiated secure renegotiation for TLS connections,Y,,Only server-initiated secure renegotiation is used for TLS connections.
ISM-1372,Use DH/ECDH for TLS key establishment,Y,,DH or ECDH is used for key establishment of TLS connections.
ISM-1448,Use ephemeral DH/ECDH for TLS key establishment,Y,,"When using DH or ECDH for key establishment of TLS connections, the ephemeral variant is used."
ISM-1373,Do not use anonymous DH for TLS connections,Y,,Anonymous DH is not used for TLS connections.
ISM-1374,Use SHA-2-based certificates for TLS connections,Y,,SHA-2-based certificates are used for TLS connections.
ISM-1375,Use SHA-2 for HMAC/PRF for TLS connections,Y,,SHA-2 is used for the Hash-based Message Authentication Code (HMAC) and pseudorandom function (PRF) for TLS connections.
